time,iron1,iron2,steel1,steel2,steel3,sjb,total1,total2,total3,total,gd,steelN,iron2N1,iron2N2,xzb,iron11N,iron12N,iron13N,iron1N2,zhb2,steel2N,iron2m,sh1,sh2,totalN1,totalN2,totalN3,totalN,bp,newsteel,totalar,pressureg,pressuren,pressurear,asu1,asu2,asu3,asu4,hy,nh,psa1,psa2,T,vap1,vap2,vap3,vap4,asu11
1,45972,30557,31192,49053,0,19811,76529,80245,19811,157774,1498,13369,4045,6582,902,5442,545,6037,17015,841,17177,6856,0,2052,38420,41889,5052,85361,1527,484,2011,1659,2137,1957,20469,20087,20069,27415,30290,10239,12263,6289,28,165,1125,15,0,0
2,44946,30491,34614,26895,0,19878,75437,61509,19878,137946,1440,13183,4059,6422,902,5342,485,5839,14819,852,14727,6855,0,2282,37672,37253,5282,80207,1520,659,2179,1652,2139,1942,20457,20000,20104,27406,30245,9880,12451,6333,28,209,1136,15,0,0
3,45375,30760,43034,26340,0,19771,76135,69374,19771,146509,1528,8581,3433,12100,895,5709,569,6123,15775,795,9638,6667,0,1795,38938,32875,4795,76608,1419,416,1835,1659,2106,1954,20546,20146,20086,27299,30354,10073,12554,6244,28,165,1144,15,0,0
4,44907,31010,55447,17857,0,19819,75917,73304,19819,150221,1496,12440,4087,6554,922,5496,466,5988,13352,821,10184,6630,0,1731,37449,30987,4731,73167,1526,390,1916,1641,1968,1940,20558,20095,20069,27577,30355,9979,12456,6238,28,156,1144,15,0,0
5,45171,30999,50541,59229,0,20015,76170,109770,20015,186940,1542,15140,3681,6227,902,5496,0,6301,15340,773,12018,7310,0,2277,39289,35441,5277,80007,1596,730,2326,1669,2038,1916,20520,20007,20190,27379,30596,9803,12358,6204,28,165,1136,15,0,0
6,44644,30572,44139,53130,0,19924,75216,97269,19924,173485,1465,14541,4017,6576,904,5240,471,5928,15780,817,15792,8075,0,2958,39142,40464,5958,85564,1589,382,1971,1635,2092,1904,20438,20131,20095,27409,30485,10623,12288,6262,28,128,1117,15,0,0
7,44152,30633,32026,52446,0,19972,74785,84472,19972,160257,1482,14465,4019,6650,902,5373,518,6016,13981,833,50894,7211,0,1900,39425,72919,4900,117244,1580,447,2027,1595,2090,1904,20457,20043,20217,27459,30521,10715,12442,6354,28,119,1107,15,0,0
8,44626,30944,41471,37600,0,19881,75570,79071,19881,155641,1458,9648,4207,6776,915,5548,536,5878,16737,876,14680,7199,0,2437,34966,39492,5437,79895,1496,632,2128,1593,2133,1910,20457,20036,20104,27530,30294,10136,12275,6358,28,119,1117,15,0,0
9,45758,30880,28657,26156,0,19645,76638,54813,19645,132451,1494,10734,4072,6610,925,5598,465,6025,15827,836,11298,7005,0,2252,35923,34966,5252,76141,1506,363,1869,1625,2069,1902,20495,20168,20104,27506,30416,9587,12531,6326,28,128,1125,15,0,0
10,45619,31098,25423,27077,0,19775,76717,52500,19775,130217,1476,13678,4017,6424,906,5225,420,5695,11744,826,41510,6262,0,2233,37841,60342,5233,103416,1475,345,1820,1669,2002,1910,20482,20073,20095,27512,30327,9600,12492,6230,28,119,1145,15,0,0
11,45256,31078,42155,20308,0,19829,76334,62463,19829,139797,1499,9974,4041,6657,927,5632,580,6291,16014,829,10699,6707,0,2156,35601,34249,5156,75006,1479,277,1756,1672,1995,1911,20501,19985,20147,28026,30494,9942,12334,6209,28,84,1162,15,0,0
12,44447,30708,44706,54339,0,19952,75155,99045,19952,175200,1462,12288,5161,11896,911,4925,406,5951,12933,694,21709,6900,0,2066,43000,42236,5066,90302,1492,488,1980,1627,1943,1909,20520,19992,20069,28032,30591,9942,12191,6243,28,84,1145,15,0,0
13,44882,30526,45179,52808,0,19992,75408,97987,19992,174395,1453,19883,3788,6194,883,5191,446,5870,14187,737,46818,6927,0,2280,43708,68669,5280,117657,1548,273,1821,1556,1997,1898,20495,20073,20095,28016,30677,10681,12375,6228,28,128,1137,15,0,0
14,44802,30276,47839,39813,0,19979,75078,87652,19979,163730,1442,19792,3759,6172,883,5246,448,5721,15441,774,15244,7938,0,2505,43463,39397,5505,88365,1584,908,2492,1522,2004,1887,20533,20051,20112,28033,30441,10681,12200,6313,28,128,1108,15,0,0
15,45248,30396,48519,25233,0,19664,75644,73752,19664,150396,1468,12590,4566,7198,905,5148,483,6501,15463,825,9837,7412,0,1863,38859,33537,4863,77259,1478,661,2139,1519,2046,1894,20438,20029,20182,28422,30343,9822,12440,6279,28,128,1108,15,0,0
16,45728,30785,41469,26207,0,19856,76513,67676,19856,145189,1511,16129,3621,5816,900,5677,518,6152,14761,805,10951,7134,0,2310,40324,33651,5310,79285,1588,297,1885,1541,2034,1872,20387,20080,20182,28430,30353,9842,12364,6178,28,128,1117,15,0,0
